Zipcode,Total; Estimate; Workers 16 years and over,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over",Public transportation (excluding taxicab); Estimate; Workers 16 years and over,Total; Estimate; Workers 16 years and over who did not work at home,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over who did not work at home","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over who did not work at home",Public transportation (excluding taxicab); Estimate; Workers 16 years and over who did not work at home
12981,969,822,70,0,893,822,70,0
12983,3907,2844,402,0,3670,2844,402,0
12985,427,335,75,0,427,335,75,0
12986,2738,1986,447,23,2588,1986,447,23
12987,116,91,0,0,91,91,0,0
12989,579,416,99,5,528,416,99,5
12992,2273,1897,227,23,2257,1897,227,23
12993,805,567,41,0,724,567,41,0
12996,846,698,62,2,817,698,62,2
12997,566,389,55,1,500,389,55,1
12998,105,71,32,0,103,71,32,0
13020,49,43,6,0,49,43,6,0
13021,18743,15217,1630,361,18254,15217,1630,361
13024,0,0,0,0,0,0,0,0
13026,901,567,49,0,778,567,49,0
13027,15542,13562,1103,198,15014,13562,1103,198
13028,585,458,88,0,557,458,88,0
13029,3580,3050,208,0,3368,3050,208,0
13030,1834,1488,268,0,1769,1488,268,0
13031,7425,6357,622,87,7200,6357,622,87
13032,6563,5748,571,11,6400,5748,571,11
13033,2149,1813,144,0,2040,1813,144,0
13034,846,740,73,0,829,740,73,0
13035,3541,2943,242,1,3332,2943,242,1
13036,4013,3406,409,11,3865,3406,409,11
13037,4252,3583,361,51,4088,3583,361,51
13039,8796,8038,405,15,8561,8038,405,15
13040,1070,868,105,9,1006,868,105,9
13041,5752,4972,429,10,5552,4972,429,10
13042,843,774,19,0,816,774,19,0
13044,1201,1013,50,20,1101,1013,50,20
13045,13296,9874,1449,82,12759,9874,1449,82
13051,29,29,0,0,29,29,0,0
13052,741,541,88,0,703,541,88,0
13053,2244,1567,413,103,2159,1567,413,103
13054,669,616,34,0,650,616,34,0
13057,7440,6394,592,48,7207,6394,592,48
13060,1392,1303,43,0,1372,1303,43,0
13061,602,485,63,0,560,485,63,0
13062,77,77,0,0,77,77,0,0
13063,1125,917,137,0,1069,917,137,0
13064,13,0,13,0,13,0,13,0
13066,6194,5283,391,7,5865,5283,391,7
13068,2802,2218,342,28,2666,2218,342,28
13069,10532,8192,1176,143,10201,8192,1176,143
13071,472,393,37,0,433,393,37,0
13072,409,288,99,0,409,288,99,0
13073,3020,2417,408,21,2907,2417,408,21
13074,2263,1728,298,19,2163,1728,298,19
13076,1282,1125,118,9,1252,1125,118,9
13077,3225,2695,340,7,3149,2695,340,7
13078,4581,3920,344,20,4377,3920,344,20
13080,1841,1467,243,10,1794,1467,243,10
13081,598,519,43,0,582,519,43,0
13082,2148,1888,113,0,2072,1888,113,0
13083,698,458,129,0,668,458,129,0
13084,2090,1921,91,0,2039,1921,91,0
13087,82,79,0,0,82,79,0,0
13088,11094,9414,1009,94,10777,9414,1009,94
13090,15929,13641,1234,203,15437,13641,1234,203
13092,1461,1107,205,11,1374,1107,205,11
13101,1317,1098,78,19,1232,1098,78,19
13102,119,85,0,0,85,85,0,0
13103,66,66,0,0,66,66,0,0
13104,7700,6436,475,77,7320,6436,475,77
13108,3124,2636,284,28,3019,2636,284,28
13110,1271,1062,118,7,1191,1062,118,7
13111,511,441,59,0,506,441,59,0
13112,1021,914,37,0,999,914,37,0
13113,110,94,14,0,108,94,14,0
13114,2718,2294,216,5,2622,2294,216,5
13115,71,61,1,0,71,61,1,0
13116,1855,1637,68,0,1797,1637,68,0
13117,84,47,21,0,77,47,21,0
13118,2208,1706,291,13,2097,1706,291,13
13120,1016,891,41,35,988,891,41,35
13122,339,264,28,0,319,264,28,0
13123,29,16,13,0,29,16,13,0
13124,59,51,5,0,56,51,5,0
13126,15675,12175,1431,114,15293,12175,1431,114
